"epic_id","epic_title","story_id","story_title","description","acceptance_criteria","priority","complexity","phase","labels","dependencies"
"epic-metrics","Collaboration Metrics Tracking","story-monitor-dau","Monitor Daily Active Users Engaged in Collaboration","Track the North Star metric of Daily Active Users engaged in collaboration to measure the success of the new features.","GIVEN the collaboration features are live WHEN users engage in collaboration sessions THEN DAU metrics are accurately tracked.","P0","simple","MVP","metrics, collaboration",""
"epic-collaboration","Real-Time Collaboration Features","story-real-time-co-editing","Real-Time Co-Editing","Develop and implement a real-time co-editing feature that allows multiple users to edit documents simultaneously, addressing the critical need expressed by enterprise customers.","GIVEN a document is open for editing WHEN multiple users access the document THEN all users can edit simultaneously without locking.","P0","epic","MVP","collaboration, real-time editing",""
"epic-metrics","Collaboration Metrics Tracking","story-track-daily-sessions","Track Daily Collaboration Sessions","Implement tracking for the primary KPI of daily collaboration sessions to assess user engagement with the real-time editing feature.","GIVEN the collaboration features are live WHEN users initiate collaboration sessions THEN the number of sessions is accurately recorded.","P1","simple","MVP","metrics, engagement",""
"epic-metrics","Collaboration Metrics Tracking","story-monitor-blocked-attempts","Monitor Blocked Concurrent Edit Attempts","Track the guardrail metric of concurrent edit attempts blocked to ensure it does not increase as real-time collaboration features are implemented.","GIVEN the collaboration features are live WHEN users attempt to edit concurrently THEN the number of blocked attempts is accurately tracked.","P1","simple","MVP","metrics, collaboration",""
"epic-collaboration","Real-Time Collaboration Features","story-revise-locking","Revise Document Locking Mechanism","Redesign the document locking mechanism to allow for simultaneous editing, eliminating the current frustration users face with the locking model.","GIVEN a document is being edited WHEN another user attempts to edit THEN they can do so without being locked out.","P1","medium","MVP","locking, user experience","story-real-time-co-editing"
"epic-collaboration","Real-Time Collaboration Features","story-add-presence-indicators","Add Presence Indicators","Implement presence indicators to show who is currently viewing or editing a document, enhancing collaboration and reducing duplicate work.","GIVEN multiple users are editing a document WHEN a user accesses the document THEN they can see avatars of other users currently editing.","P1","medium","MVP","presence, collaboration","story-real-time-co-editing"
"epic-collaboration","Real-Time Collaboration Features","story-implement-conflict-resolution","Implement Conflict Resolution Strategy","Develop a conflict resolution strategy for concurrent edits to prevent data loss and ensure user changes are preserved.","GIVEN two users edit the same section of a document WHEN they save their changes THEN both changes are merged without data loss.","P1","complex","V1","conflict resolution, data integrity","story-real-time-co-editing"
"epic-collaboration","Real-Time Collaboration Features","story-collect-user-feedback","Collect User Feedback on Collaboration Features","Establish a mechanism to gather user feedback specifically on the collaboration experience to inform future improvements.","GIVEN a user participates in collaboration sessions WHEN they complete a feedback form THEN their feedback is recorded and analyzed.","P2","simple","V1","user feedback, collaboration","story-real-time-co-editing, story-revise-locking, story-add-presence-indicators"
"epic-collaboration","Real-Time Collaboration Features","story-enhance-mobile-editing","Enhance Mobile Editing Experience","Improve the mobile editing experience to support real-time collaboration, ensuring it is on par with desktop functionality.","GIVEN a user is editing on mobile WHEN they access a collaborative document THEN they can edit seamlessly without locking issues.","P2","medium","V1","mobile, user experience","story-real-time-co-editing"
"epic-testing","Collaboration Feature Testing","story-ab-testing","Conduct A/B Testing on Collaboration Features","Implement A/B testing for different versions of real-time collaboration features to determine which version yields higher user engagement and satisfaction.","GIVEN multiple versions of collaboration features are available WHEN users engage with them THEN A/B test results are collected and analyzed.","P2","medium","V2","A/B testing, collaboration","story-implement-conflict-resolution, story-collect-user-feedback, story-enhance-mobile-editing, story-competitor-launched-real-time-co-editing-we-need-parity, story-need-presence-indicators-who-s-viewing-editing"
"epic-collab","COLLAB Initiatives","story-competitor-launched-real-time-co-editing-we-need-parity","Competitor launched real-time co-editing — we need parity","Competitor X (Notion-adjacent) launched live co-editing on 2025-10-15 with a heavy marketing push directly targeting our enterprise segment. Sales has fielded 14 inbound inquiries in two weeks asking when CollabDocs will support simultaneous editing. Without parity we risk losing competitive positioning in the enterprise document space. This ticket tracks the initiative to deliver real-time co-editing at feature parity or better.","","P0","medium","V1","strategic, competitive, collaboration, initiative","story-monitor-dau, story-track-daily-sessions, story-monitor-blocked-attempts, story-real-time-co-editing, story-revise-locking, story-add-presence-indicators"
"epic-collab","COLLAB Initiatives","story-need-presence-indicators-who-s-viewing-editing","Need presence indicators (who's viewing/editing)","Users have no visibility into who else is currently viewing or editing a document. This causes duplicate work (two people editing the same section simultaneously then manually merging) and communication overhead. Requested feature: real-time presence avatars in the document header showing active viewers and editors, with cursor position indicators per user. This is a prerequisite for real-time co-editing and has standalone value for read-only collaboration workflows.","","P1","medium","V1","feature, presence, ux, collaboration","story-monitor-dau, story-track-daily-sessions, story-monitor-blocked-attempts, story-real-time-co-editing, story-revise-locking, story-add-presence-indicators"
